Ruta,Texto original,Traducción
CommonEvent[5].command[197].textData,...Как остальных отдавали на заклание древним богам.,
CommonEvent[5].command[198].textData,Как их вскрытых вен медленно капала кровь на жертвенный ,
CommonEvent[5].command[199].textData,алтарь.,
CommonEvent[5].command[200],____TEXT____,
CommonEvent[5].command[201].textData,"Ты вспоминаешь... Как спустя множество поколений,",
CommonEvent[5].command[202].textData,"после множества тёмных ритуалов, твои предки ",
CommonEvent[5].command[203].textData,наконец-то смогли призвать небольшого злобного демона.,
CommonEvent[5].command[204],____TEXT____,
CommonEvent[5].command[205].textData,"Как зло, выползшее из ритуального круга раскрыло",
CommonEvent[5].command[206].textData,свои секреты.,
CommonEvent[5].command[211],____TEXT____,
CommonEvent[5].command[212].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[215],____TEXT____,
CommonEvent[5].command[216].textData,Ты вспоминаешь \c[2]Кровавая жертва\c[0]!,
CommonEvent[5].command[222],____TEXT____,
CommonEvent[5].command[223].textData,Ты вспоминаешь \c[2]Высшая магия крови\c[0]!,
CommonEvent[5].command[233],____TEXT____,
CommonEvent[5].command[234].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[237],____TEXT____,
CommonEvent[5].command[238].textData,Ты вспоминаешь \c[2]Высшая магия крови\c[0]!,
CommonEvent[5].command[245],____TEXT____,
CommonEvent[5].command[246].textData,Ты вспоминаешь \c[2]Кровавая жертва\c[0]!,
CommonEvent[5].command[255],____TEXT____,
CommonEvent[5].command[256].textData,"После прочтения, книга стремительно рассыпается",
CommonEvent[5].command[257].textData,в пыль прямо на твоих глазах.,
CommonEvent[5].command[264],____TEXT____,
CommonEvent[5].command[265].textData,"Открыв книгу, тебя пробирает греющая душу ",
CommonEvent[5].command[266].textData,"ностальгия, которую невозможно объяснить.",
CommonEvent[5].command[267],____TEXT____,
CommonEvent[5].command[268].textData,Воспоминания о прошлой жизни проносятся перед,
CommonEvent[5].command[269].textData,твоими глазами. Но некоторые из них тебе не знакомы.,
CommonEvent[5].command[270],____TEXT____,
CommonEvent[5].command[271].textData,"Ты вспоминаешь своих предков живущих в холодных,",
CommonEvent[5].command[272].textData,пустынных землях Ольдегарда.,
CommonEvent[5].command[273],____TEXT____,
CommonEvent[5].command[274].textData,"Ты вспоминаешь... Холодные зимы, где непогода и боги ",
CommonEvent[5].command[275].textData,проверяли твой народ на прочность. Где лишь сильнейшие ,
CommonEvent[5].command[276].textData,могли снова узреть весенний рассвет.,
CommonEvent[5].command[277],____TEXT____,
CommonEvent[5].command[278].textData,"Ты вспоминаешь... Как твой отец, смотрел на тебя из ",
CommonEvent[5].command[279].textData,темного угла вашей маленькой лачуги. Голодными глазами.,
CommonEvent[5].command[280],____TEXT____,
CommonEvent[5].command[281].textData,"Ты вспоминаешь... Как в доме, вот уже две недели, не ",
CommonEvent[5].command[282].textData,было ни одной крохи. Как голод свёл с ума и превратил ,
CommonEvent[5].command[283].textData,самого добрейшего человека в безумца.,
CommonEvent[5].command[284],____TEXT____,
CommonEvent[5].command[285].textData,Ты вспоминаешь... Как твой отец все-таки поддался зову ,
CommonEvent[5].command[286].textData,"в полнолуние. Но к тому времени, он уже сильно ослаб ",
CommonEvent[5].command[287].textData,от голода.,
CommonEvent[5].command[288],____TEXT____,
CommonEvent[5].command[289].textData,Ты вспоминаешь... Как ослабевшими руками он пытался ,
CommonEvent[5].command[290].textData,"бороться с тобой. Но в конце концов, из вас двоих, он ",
CommonEvent[5].command[291].textData,оказался слабее.,
CommonEvent[5].command[292],____TEXT____,
CommonEvent[5].command[293].textData,Ты вспоминаешь... Как пировал на следующий день.,
CommonEvent[5].command[294].textData,Над костром было так много мяса. Им можно было ,
CommonEvent[5].command[295].textData,накормить животных из окружившего твою лачугу леса.,
CommonEvent[5].command[296],____TEXT____,
CommonEvent[5].command[297].textData,"Ты вспоминаешь, как в обмен на тарелку с плотью твоего ",
CommonEvent[5].command[298].textData,"отца, животные научили тебя собственным хитростям и ",
CommonEvent[5].command[299].textData,премудростям выживания.,
CommonEvent[5].command[304],____TEXT____,
CommonEvent[5].command[305].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[308],____TEXT____,
CommonEvent[5].command[309].textData,Ты вспоминаешь \c[2]Кровожадность\c[0]!,
CommonEvent[5].command[316],____TEXT____,
CommonEvent[5].command[317].textData,Ты вспоминаешь \c[2]Меткая стрельба\c[0]!,
CommonEvent[5].command[327],____TEXT____,
CommonEvent[5].command[328].textData,Ты познал все наследие своих предков.,
CommonEvent[5].command[331],____TEXT____,
CommonEvent[5].command[332].textData,Ты вспоминаешь \c[2]Меткая стрельба\c[0]!,
CommonEvent[5].command[339],____TEXT____,
CommonEvent[5].command[340].textData,Ты вспоминаешь \c[2]Кровожадность\c[0]!,
CommonEvent[5].command[350],____TEXT____,
CommonEvent[5].command[351].textData,"После прочтения, книга стремительно рассыпается",
CommonEvent[5].command[352].textData,в пыль прямо на твоих глазах.,
CommonEvent[6].command[5],____TEXT____,
CommonEvent[6].command[6].textData,"Книга рецептов известного шефа Андерса, ",
CommonEvent[6].command[7].textData,повара королевской кухни Рондона.,
CommonEvent[6].command[8],____TEXT____,
CommonEvent[6].command[9].textData,"Несмотря на то обложке заявлена книга рецептов, сама ",
CommonEvent[6].command[10].textData,она скорее больше рассказывает своем известном ,
CommonEvent[6].command[11].textData,"создателе, нежели чем о кулинарии.",
CommonEvent[6].command[12],____TEXT____,
CommonEvent[6].command[13].textData,"Это в большей степени биография, во многом ",
CommonEvent[6].command[14].textData,"преувеличивающая его жизнь и триумфы, в качестве ",
CommonEvent[6].command[15].textData,королевского шефа. В ней также в деталях ,
CommonEvent[6].command[16].textData,описывается весьма любопытный роман с принцессой.,
CommonEvent[6].command[17],____TEXT____,
CommonEvent[6].command[18].textData,Посреди многочисленных амурных похождений и ,
CommonEvent[6].command[19].textData,"предательств, ты находишь рецепты шефа Андерса: ",
CommonEvent[6].command[20].textData,Знаменитый \c[2]Мясной пирог\c[0],
CommonEvent[6].command[21].textData,и не менее вкусный \c[2]Пирог с овощами\c[0]!,
CommonEvent[7].command[5],____TEXT____,
CommonEvent[7].command[6].textData,"""СКОВАННОЕ СЕРДЦЕ за авторством Рона Чамбара -",
CommonEvent[7].command[7].textData,"Безмолвная грацию жизни, ты прячешь в глазах, ",
CommonEvent[7].command[8].textData,"что я видел в ночных мечтах,""",
CommonEvent[7].command[9].textData,,
CommonEvent[7].command[10],____TEXT____,
CommonEvent[7].command[11].textData,"""Пролитые слезы - камни на плечах нашей любви и лжи,",
CommonEvent[7].command[12].textData,"лжи, из-за которой мы стали чужды"".",
CommonEvent[7].command[13],____TEXT____,
CommonEvent[7].command[14].textData,"""Цепи в сердце моем тяжелеют в глазах",
CommonEvent[7].command[15].textData,"твоих. Невыносимы стали они, неужели не видишь",
CommonEvent[7].command[16].textData,"ты, как я страдаю?""",
CommonEvent[7].command[17],____TEXT____,
CommonEvent[7].command[18].textData,"""Так сложно противиться, один взгляд твой",
CommonEvent[7].command[19].textData,столь тягок и цепок - неужто я могу противиться пред ,
CommonEvent[7].command[20].textData,"судьбой...""",
CommonEvent[7].command[21],____TEXT____,
CommonEvent[7].command[22].textData,Ты обдумываешь эти строки.,
CommonEvent[8].command[5],____TEXT____,
CommonEvent[8].command[6].textData,"""Возвращаясь к тому, что мы обсуждали в прошлый раз",
CommonEvent[8].command[7].textData,- мы более не нуждаемся в тех пленниках.,
CommonEvent[8].command[8].textData,Судьба этих ублюдков отныне в ваших руках.,
CommonEvent[8].command[9].textData,"Делайте с ними все, что пожелаете"".",
CommonEvent[8].command[10],____TEXT____,
CommonEvent[8].command[11].textData,"""Коль вы намерены приступить к своим безнравственным ",
CommonEvent[8].command[12].textData,"планам, пожалуйста, убедитесь в том, что некому будет ",
CommonEvent[8].command[13].textData,"рассказать о ваших опытах. Никаких свидетелей, ",
CommonEvent[8].command[14].textData,"так сказать"".",
CommonEvent[8].command[15],____TEXT____,
CommonEvent[8].command[16].textData,"""Жестокость - это очередная обыденность военного ",
CommonEvent[8].command[17].textData,"времени. Думаю вам это известно, как никому другому"".",
CommonEvent[8].command[18],____TEXT____,
CommonEvent[8].command[19].textData,"""Также как и то, что некоторые вещи, выходят за ",
CommonEvent[8].command[20].textData,"пределы разумной жестокости, а потому никогда не ",
CommonEvent[8].command[21].textData,"должны применяться на людях. Ни мне, ни вам не нужны ",
CommonEvent[8].command[22].textData,"лишние слухи"".",
CommonEvent[8].command[23],____TEXT____,
CommonEvent[8].command[24].textData,"""Не ищите в моих словах желания вас оскорбить,",
CommonEvent[8].command[25].textData,"но ради моего же спокойствия, я надеюсь более ",
CommonEvent[8].command[26].textData,никогда не увидеть от вас письма.,
CommonEvent[8].command[27].textData," - Капитан Рудимер""",
CommonEvent[9].command[5],____TEXT____,
CommonEvent[9].command[6].textData,Это список заключенных которых содержат ,
CommonEvent[9].command[7].textData,в этом подземелье:,
CommonEvent[9].command[8],____TEXT____,
CommonEvent[9].command[9].textData,... Ты не можешь разобрать почерк.,
CommonEvent[10].command[5],____TEXT____,
CommonEvent[10].command[6].textData,"""Капитан Рудимер - 5-ое августа, 1590 -",
CommonEvent[10].command[7].textData,Вот уже долгое время меня мучают кошмары. В них ,
CommonEvent[10].command[8].textData,"я вижу рисунки на стенах, клубящуюся тьму, слышу ",
CommonEvent[10].command[9].textData,"карканье воронов. Все это преследует меня даже наяву"".",
CommonEvent[10].command[10],____TEXT____,
CommonEvent[10].command[11].textData,"""Долгие месяцы я провел не зная никакого покоя. ",
CommonEvent[10].command[12].textData,"Кажется, сны стали безумнее, будто бы, безумие ",
CommonEvent[10].command[13].textData,"в стенах этого места... растет"".",
CommonEvent[10].command[14],____TEXT____,
CommonEvent[10].command[15].textData,"""Я не знаю, что является первопричиной чему. Появись",
CommonEvent[10].command[16].textData,"ли мои дикие сны до, или же они и стали ",
CommonEvent[10].command[17].textData,"набирать силу именно в этом хаосе"".",
CommonEvent[10].command[18],____TEXT____,
CommonEvent[10].command[19].textData,"""Все что я вижу, напоминает мне мой сон, в котором ",
CommonEvent[10].command[20].textData,"я вижу знаки из иных миров"".",
CommonEvent[10].command[21],____TEXT____,
CommonEvent[10].command[22].textData,"""Я клянусь, потроха вчерашнего заключенного",
CommonEvent[10].command[23].textData,"приняли почти ту же форму, что и рисунки...""",
CommonEvent[10].command[24],____TEXT____,
CommonEvent[10].command[25].textData,"""Но всякий раз, когда я пытаюсь описать их постоянно",
CommonEvent[10].command[26].textData,"меняющийся вид учёным мужам, или хотя бы, облечить их ",
CommonEvent[10].command[27].textData,"вот этой самой бумаге, то... Я терплю полный крах"".",
CommonEvent[10].command[28],____TEXT____,
CommonEvent[10].command[29].textData,"""Подобно костру, чье пламя тянется к ночному небу,",
CommonEvent[10].command[30].textData,"так и те рисунки не имеют четкой формы"".",
CommonEvent[10].command[31],____TEXT____,
CommonEvent[10].command[32].textData,"""Они бесспорно опасны. Влияние подобное этому ",
CommonEvent[10].command[33].textData,"превышает порог того, что может осознать простой ",
CommonEvent[10].command[34].textData,человеческий разум. Я сам стал олицетворением этого ,
CommonEvent[10].command[35].textData,"помешательства, так что, мне ли не знать"".",
CommonEvent[10].command[36],____TEXT____,
CommonEvent[10].command[37].textData,"""Я понимаю это лучше других. Может быть, я ",
CommonEvent[10].command[38].textData,"единственный, кто смог остаться в здравом рассудке ",
CommonEvent[10].command[39].textData,"и осознать увиденное? Боги, неужели мне снова ",
CommonEvent[10].command[40].textData,"придётся приводить здесь всё в порядок?""",
CommonEvent[10].command[41],____TEXT____,
CommonEvent[10].command[42].textData,"""Вороны - Они подтверждают мои подозрения"".",
CommonEvent[10].command[43],____TEXT____,
CommonEvent[10].command[44].textData,"""Я очищу это место. Вырву корень безумия.",
CommonEvent[10].command[45].textData,"Только я на это способен...""",
CommonEvent[11].command[5],____TEXT____,
CommonEvent[11].command[6].textData,"""Величие Ма'Хабрэ. Ведь вы тоже его видели, не так ли?",
CommonEvent[11].command[7].textData,"Во снах, ты скитаешься будто вечность, пока",
CommonEvent[11].command[8].textData,силуэт города маячит на горизонте.,
CommonEvent[11].command[9],____TEXT____,
CommonEvent[11].command[10].textData,"""Вы ведь тоже видели башни-близнецы что тянутся к ",
CommonEvent[11].command[11].textData,темному ночному небу. Те мрачные обелиски с ,
CommonEvent[11].command[12].textData,"высеченными сказаниями о прошедших, ещё более ",
CommonEvent[11].command[13].textData,"жестоких, временах.",
CommonEvent[11].command[14],____TEXT____,
CommonEvent[11].command[15].textData,"""Вы ведь тоже видели огромные ворота с фресками",
CommonEvent[11].command[16].textData,"и спиралями, узор которых сводит с ума. С паттернами ",
CommonEvent[11].command[17].textData,"и рисунками за гранью всякого понимания"".",
CommonEvent[11].command[18],____TEXT____,
CommonEvent[11].command[19].textData,"""И вы ведь слышали не только ветер, воющий средь",
CommonEvent[11].command[20].textData,"пустых улиц, о нет...""",
CommonEvent[11].command[21],____TEXT____,
CommonEvent[11].command[22].textData,"""Но и отголоски обитателей этого места. Несмотря на ",
CommonEvent[11].command[23].textData,"то, что все разумные доводы говорили вам, будто это ",
CommonEvent[11].command[24].textData,"место давно покинуто...""",
CommonEvent[11].command[25],____TEXT____,
CommonEvent[11].command[26].textData,"""...Вы ведь все ещё слышите их. Вы не одиноки в этой ",
CommonEvent[11].command[27].textData,"ужасающей части света"".",
CommonEvent[11].command[28],____TEXT____,
CommonEvent[11].command[29].textData,"""Во снах, вы ведь тоже видели его? Город Ма'Хабрэ.",
CommonEvent[11].command[30].textData,"Город богов"".",
CommonEvent[11].command[31],____TEXT____,
CommonEvent[11].command[32].textData,"""А вы знали, что здесь - он существует?""",
CommonEvent[12].command[5],____TEXT____,
CommonEvent[12].command[6].textData,"""-Учение Гро-Горота I-""",
CommonEvent[12].command[7],____TEXT____,
CommonEvent[12].command[8].textData,"""Дабы освободить место новым поколениям, ",
CommonEvent[12].command[9].textData,новым росткам - старый лес должен сгореть.,
CommonEvent[12].command[10].textData,"Таков закон творения"".",
CommonEvent[12].command[11],____TEXT____,
CommonEvent[12].command[12].textData,"""Творение и Разрушение. Одно неотъемлемо от",
CommonEvent[12].command[13].textData,другого. Разрушения взывают к Гро-Гороту -,
CommonEvent[12].command[14].textData,"истребителю людей"".",
CommonEvent[12].command[15],____TEXT____,
CommonEvent[12].command[16].textData,"""Человек страшиться разрушений. Потому как он привык ",
CommonEvent[12].command[17].textData,"к миру и покою. Живот его становится толстым, ",
CommonEvent[12].command[18].textData,"он начинает бояться изменений"".",
CommonEvent[12].command[19],____TEXT____,
CommonEvent[12].command[20].textData,"""Но изменения неизбежны, как и сам Гро-Горот"".",
CommonEvent[12].command[21],____TEXT____,
CommonEvent[12].command[22].textData,"""Не нужно боятся. Потому как истинное разрушение",
CommonEvent[12].command[23].textData,не нацеленно на одного лишь человека.,
CommonEvent[12].command[24].textData,"Оно просто - есть"".",
CommonEvent[12].command[25],____TEXT____,
CommonEvent[12].command[26].textData,"""Одна из интересных особенностей Гро-Горота - он ",
CommonEvent[12].command[27].textData,любопытен. Намного любопытнее чем множество других ,
CommonEvent[12].command[28].textData,"богов"".",
CommonEvent[12].command[29],____TEXT____,
CommonEvent[12].command[30].textData,"""Для облегчения людского страха, Гро-Горот носит",
CommonEvent[12].command[31].textData,"личины мужчин или женщин"".",
CommonEvent[12].command[32],____TEXT____,
CommonEvent[12].command[33].textData,"""Возможно, он и по сей день ходит среди нас, скрытый ",
CommonEvent[12].command[34].textData,"под кожой человека или висельника, благословляя нас ",
CommonEvent[12].command[35].textData,"своей магией крови"".",
CommonEvent[13].command[5],____TEXT____,
CommonEvent[13].command[6].textData,"""Братство ч.1 -",
CommonEvent[13].command[7].textData,Эти страницы повествуют о событиях 809 года после ,
CommonEvent[13].command[8].textData,"рождения вознесшегося нашего, христа"".",
CommonEvent[13].command[9],____TEXT____,
CommonEvent[13].command[10].textData,"""Сказание о братстве знакомо всем, но лишь немногие",
CommonEvent[13].command[11].textData,"знают подлинную историю, из которой сложенны все",
CommonEvent[13].command[12].textData,"поэмы и песни"".",
CommonEvent[13].command[13],____TEXT____,
CommonEvent[13].command[14].textData,"""Братство состояло из пяти человек:",
CommonEvent[13].command[15].textData,"Франсуа - Господствующий,",
CommonEvent[13].command[16].textData,"Нильван - Бесконечная,",
CommonEvent[13].command[17].textData,"Вальтеил - Просветленный,""",
CommonEvent[13].command[18],____TEXT____,
CommonEvent[13].command[19].textData,"""Чамбара - Измученный,",
CommonEvent[13].command[20].textData,"а так же пятого - того, кто никогда не стремился ",
CommonEvent[13].command[21].textData,достичь того же величия как остальные.,
CommonEvent[13].command[22].textData,"Тот, чью историю никто так и не услышал - Забытый"".",
CommonEvent[13].command[23],____TEXT____,
CommonEvent[13].command[24].textData,"""Братство было создано дабы отыскать древних богов,",
CommonEvent[13].command[25].textData,оставивших человечество без своего наставления и ,
CommonEvent[13].command[26].textData,"помощи в час великой нужды"".",
CommonEvent[13].command[27],____TEXT____,
CommonEvent[13].command[28].textData,"""Великие королевства медленно загнивали, а с ними и ",
CommonEvent[13].command[29].textData,когда-то незыблемые и великие идеалы человечества. ,
CommonEvent[13].command[30].textData,Им на смену пришли порочные принципы и извращённые ,
CommonEvent[13].command[31].textData,"практики"".",
CommonEvent[13].command[32],____TEXT____,
CommonEvent[13].command[33].textData,"""Когда-то существовала древняя гробница, ведущая в",
CommonEvent[13].command[34].textData,"древний город - Ма'Аврэ, что был центром множеств ",
CommonEvent[13].command[35].textData,"разных плоскостей мироздания. Легендарное место,",
CommonEvent[13].command[36].textData,"где человек, мог встретить своего создателя"".",
CommonEvent[13].command[37],____TEXT____,
CommonEvent[13].command[38].textData,"""Те, кто решался сделать шаг внутрь, оканчивали свою ",
CommonEvent[13].command[39].textData,"жизнь в вечных, бесконечных, божественных измерениях",
CommonEvent[13].command[40].textData,"и многочисленных мирах загробной жизни"".",
CommonEvent[13].command[41],____TEXT____,
