Ruta,Texto original,Traducción
Armor[41].name,Душа Пещерной матери,
Armor[41].description,"Душа Пещерной матери, дарует своему обладателю 
увеличение агрессивности.",
Armor[42].name,Душа Бабочки,
Armor[42].description,"Душа Бабочки позволяет легче уворачиваться от атак.
Делает поступь легкой, подобно перышку.",
Armor[43].name,Душа Древнего стража,
Armor[43].description,"Душа Древнего стража. Всего лишь мелкая песчинка от
его решительности. Не позволяет вам умереть.",
Armor[44].name,Красная накидка,
Armor[44].description,"Оборванный кусочек красной накидки Древнего стража.
Это доказательством вашей победы над Древним стражем.",
Armor[45].name,,
Armor[45].description,,
Armor[46].name,Шинель,
Armor[46].description,"Тяжелая шинель сделанная из клепаной кожи.
Отлично защищает от огненных атак.",
Armor[47].name,Подвеска поглощающая души,
Armor[47].description,"Серебряная подвеска с камнем души в ней. Камень 
защищает владельца от потусторонних сил.",
Armor[48].name,Одежда из шкур,
Armor[48].description,"Сделана из освежеванной шкуры. Маскирует запаха
носителя от чудовищ и звереподобных созданий.",
Armor[49].name,,
Armor[49].description,,
Armor[50].name,Монокль,
Armor[50].description,"Простая линза для одного глаза. Немного повышает
точность носителя.",
Armor[51].name,Очки,
Armor[51].description,"С их помощью ты видишь намного яснее. Сильно повышает
точность носителя.",
Armor[52].name,Восточный парфюм,
Armor[52].description,"Бутылочка восточного парфюма. Аромат привлекает 
чудовищ и зверей всех видов.",
Armor[53].name,Якорь души,
Armor[53].description,"Древняя реликвия, по слухам она помогает удерживать 
душу его носителя в теле, несмотря ни на что.",
Armor[54].name,Доспех покаяния,
Armor[54].description,"Особая броня созданная для Рыцарей Искупления 
Ватикана. Однажды надев, её больше не снять.",
Armor[55].name,Доспех покаяния,
Armor[55].description,"Особая броня созданная для Рыцарей Искупления 
Ватикана. Однажды надев, её больше не снять.",
Armor[56].name,Шелковое одеяние,
Armor[56].description,"Шелковое одеяния с Востока. Несмотря на хрупкий вид,
она обеспечит хорошую защиту против потусторонних сил.",
Armor[57].name,Дзингаса кабуто,
Armor[57].description,"Укрепленная пластинами фермерская шляпа, обычно, 
такие используют на Дальнем Востоке. Изменена для боя.",
Armor[58].name,Амулет Иггаэгэцу,
Armor[58].description,"Говорят, амулет выпал из одеяния странствующего воина 
Иггаэгэцу. Повышает шансы нанести критический удар.",
Armor[59].name,,
Armor[59].description,,
Armor[60].name,,
Armor[60].description,,
