Ruta,Texto original,Traducción
Item[70].name,Черничный пирог,
Item[70].description,Старомодный пирог из черники. Вкусно  и полезно!,
Item[71].name,Нитроглицериновый порошок,
Item[71].description,"Белый порошок. При смешении с правильными 
ингредиентами, можно получить что-нибудь интересное...",
Item[72].name,Опиум,
Item[72].description,"Если у вас есть трубка, вы можете его покурить.
Обладает успокаивающим эффектом, снижает страх.",
Item[73].name,Трубка,
Item[73].description,С ее помощью можно покурить что-нибудь.,
Item[74].name,Табак,
Item[74].description,"Редкий предмет роскоши с нового континента, темных 
земель Винланда. Можно выкурить с помощью трубки.",
Item[75].name,Железная стрела,
Item[75].description,"Стрела с железным наконечником. Нужна для стрельбы из 
лука. Если у вас есть лук, нажмите [SHIFT] чтобы стрелять.",
Item[76].name,Капкан,
Item[76].description,"Мощная ловушка, которая может нанести серьезные 
ранения.",
Item[77].name,Алмаз,
Item[77].description,"Чистый бриллиант, излучающий слабый свет. За 
пределами этих подземелий он бы стоил огромных денег.",
Item[78].name,Оранжевый флакон,
Item[78].description,"Флакон с жидкостью оранжевого цвета. Один запах
вызывает у тебя выброс адреналина...",
Item[79].name,Взрывной флакон,
Item[79].description,"Флакон наполеннный взрывоопасными жидкостями. Может
использоваться для расчистки обвалов камней и щебня.",
Item[80].name,Сказка о Покеткэте I,
Item[80].description,Детская сказка о Покеткэте. Это первая глава.,
Item[81].name,Дневник капитана 2,
Item[81].description,Небольшой отрывок из дневника капитана.,
Item[82].name,Дневник капитана 3,
Item[82].description,Небольшой отрывок из дневника капитана.,
Item[83].name,Магия крови и цветов I,
Item[83].description,"Книга об учении великого волшебника Восточных 
святилищ.",
Item[84].name,Камень,
Item[84].description,Небольшой камень.,
Item[85].name,Флакон с водой,
Item[85].description,"Флакон наполненный водой. Вода внутри выглядит и 
пахнет как питьевая.",
Item[86].name,Вырванная страница,
Item[86].description,"Страница явно была вырвана из книги. Тут говорится о
Вороне-Истязателе.",
Item[87].name,Перо,
Item[87].description,Соколинное перо. Идеально подходит для письма.,
Item[88].name,Пустой свиток,
Item[88].description,"Пустой свиток, ожидающий росчерка пера.",
Item[89].name,Алхимелия том 3,
Item[89].description,Книга содержащая рецепты для опытных алхимиков.,
Item[90].name,Коричневый флакон,
Item[90].description,"Флакон с жидкостью коричневого цвета. Запах 
заставляет мышцы сокращаться и обостряет ваши чувства.",
Item[91].name,Мясо морского дракона,
Item[91].description,Мясо морского дракона. Оно жирное и аппетитно пахнет.,
Item[92].name,Мех пещерного волка,
Item[92].description,"Мех пещерного волка. Шерсть жесткая, совсем не мягкая 
и имеет кожистую текстуру.",
Item[93].name,Путь в Ма'Хабре,
Item[93].description,"Обыденно выглядящая книга, чувствуется на удивление
увесистой. Обложка выглядит очень старой.",
Item[94].name,Зеленые травы,
Item[94].description,"Зеленые травы с горьким запахом. Обычно их растирают 
на теле для лечения инфекции.",
Item[95].name,Синие травы,
Item[95].description,Синие травы со сладким запахом.,
Item[96].name,Тавро,
Item[96].description,"Клеймо для тех, кто заразился черной чумой.",
Item[97].name,Флакон с вином,
Item[97].description,"Флакон старого мутного вина. Выпейте, чтобы ослабить 
ваши чувства и страх.",
Item[98].name,Книга Страхов,
Item[98].description,Книга о различных фобиях.,
Item[99].name,Зелье полного исцеления,
Item[99].description,"Чудодейственное зелье, которое обязуется полностью
излечить ваши недуги. Жидкость подозрительно мутная.",
Item[100].name,Зелье полного здравомыслия,
Item[100].description,"Чудотворное зелье полностью восстанавливающее
ваш рассудок. Жидкость пахнет ужасно.",
Item[101].name,Зелье жизни,
Item[101].description,"Чудотворное зелье которое возвращает жизнь туда, где 
она когда-то зиждилась. Цвет жидкости вызывает тошноту.",
Item[102].name,Свиток воровства,
Item[102].description,Узнайте секреты искусства воровства и карманных краж.,
Item[103].name,Свиток путешественника,
Item[103].description,Узнайте секреты стремительности и быстрого бега.,
Item[104].name,Свиток взлома,
Item[104].description,Узнайте секреты искусства взлома.,
Item[105].name,Свиток фехтования,
Item[105].description,Узнайте секреты искусства фехтования и быстрой атаки.,
Item[106].name,Свиток мечника,
Item[106].description,Узнайте секреты контр-техник.,
Item[107].name,Свиток генерала,
Item[107].description,"Узнайте секреты военного искусства. Умный генерал 
знает, когда нужно переходить в оборону.",
Item[108].name,Свиток магов,
Item[108].description,"Узнайте секреты великой магии крови. Секреты которые
знают только самые целеустремленные волшебники.",
Item[109].name,Свиток колдуна,
Item[109].description,"Узнайте секреты кровавых жертвоприношений, нечестивых
церемоний членовредительства и нанесения увечий.",
Item[110].name,Свиток дикаря,
Item[110].description,"Узнайте секреты поедания тел. 
Особые навыки северных дикарей.",
Item[111].name,Свиток меткого стрелка,
Item[111].description,"Узнайте секреты меткой стрельбы из лука.
Уникальный талант восточных монгольских армий.",
Item[112].name,Свиток берсерка,
Item[112].description,"Узнайте секреты кровожадности. Умение, что свирепые
северные племена использовали на протяжении поколений.",
Item[113].name,Свиток длинного меча,
Item[113].description,"Узнайте нюансы хорошей подсечки. Невероятная техника 
требующая большой гибкости.",
Item[114].name,,
Item[114].description,,
Item[115].name,Камень душ,
Item[115].description,"Поверхность драгоценного камня гладкая, но кажется
естественной и первозданной.",
Item[116].name,Малая душа,
Item[116].description,"Внутри виден маленький огонёк, который медленно 
кружит внутри.",
Item[117].name,Мелкие семена,
Item[117].description,Мелкие мягкие семена,
Item[118].name,Пещерный мох,
Item[118].description,Зеленый и кожистый мох. Выглядит съедобно.,
Item[119].name,Куб глубин,
Item[119].description,"Объект представляет собой куб древнего вида, вокруг
которого вращаются украшения.",
Item[120].name,Душа Ворона-Истязателя,
Item[120].description,"Удивительно тяжелый драгоценный камень. Внутри виден 
маленький огонёк, который медленно кружит внутри.",
Item[121].name,Душа пещерной матери,
Item[121].description,"Удивительно тяжелый драгоценный камень. Внутри виден 
маленький огонёк, который медленно кружит внутри.",
Item[122].name,Душа морского дракона,
Item[122].description,"Удивительно тяжелый драгоценный камень. Внутри виден 
маленький огонёк, который медленно кружит внутри.",
Item[123].name,Душа старого рыцаря,
Item[123].description,"Удивительно тяжелый драгоценный камень. Внутри виден 
маленький огонёк, который медленно кружит внутри.",
Item[124].name,Душа Железного Шекспира,
Item[124].description,"Удивительно тяжелый драгоценный камень. Внутри виден 
маленький огонёк, который медленно кружит внутри.",
Item[125].name,,
Item[125].description,,
Item[126].name,Бесконечная душа,
Item[126].description,"Одна из великих душ, которые работают как ключ к 
вознесению.",
Item[127].name,Господствуящая душа,
Item[127].description,"Одна из великих душ, которые работают как ключ к 
вознесению.",
Item[128].name,Просветленная душа,
Item[128].description,"Одна из великих душ, которые работают как ключ к 
вознесению.",
Item[129].name,Измученная душа,
Item[129].description,"Одна из великих душ, которые работают как ключ к 
вознесению.",
Item[130].name,Древняя душа,
Item[130].description,"Удивительно тяжелый драгоценный камень. Внутри виден 
маленький огонёк, который медленно кружит внутри.",
Item[131].name,,
Item[131].description,,
Item[132].name,Красные травы,
Item[132].description,Красные травы с нейтральным запахом.,
Item[133].name,Алхимелия том 1,
Item[133].description,"Книга, содержащая рецепты основных трав и растений.",
Item[134].name,Смесь красной и синей травы,
Item[134].description,"Смесь трав, обладающая особенно сильным действием.",
Item[135].name,Смесь красной и зеленой травы,
Item[135].description,"Смесь трав, обладающая особенно сильным действием.",
Item[136].name,Анатомия,
Item[136].description,Сборник знаний по медицине.,
Item[137].name,Братство. Часть 2,
Item[137].description,"Эта книга повествует о легендарном братстве, которое 
в наши дни известно как новые боги.",
Item[138].name,Братство. Часть 2 (Оригинал),
Item[138].description,"Эта книга повествует о легендарном братстве, которое 
в наши дни известно как новые боги.",
Item[139].name,Братство. Часть 1 (Оригинал),
Item[139].description,"Эта книга повествует о легендарном братстве, которое 
в наши дни известно как новые боги.",
Item[140].name,Пила,
Item[140].description,"Старая ржавая пила. Можно только представить сколько
жестокости она повидала. Эффективна против инфекций.",
Item[141].name,Рука,
Item[141].description,Рука еще относительно свежая.,
Item[142].name,Нога,
Item[142].description,Нога еще относительно свежая.,
Item[143].name,Нога скелета,
Item[143].description,Отрезанная нога скелета.,
Item[144].name,Голубоватая рука,
Item[144].description,Рука еще относительно свежая.,
Item[145].name,Голубоватая нога,
Item[145].description,Нога еще относительно свежая.,
Item[146].name,,
Item[146].description,,
Item[147].name,Куб глубин,
Item[147].description,"Объект представляет собой куб древнего вида, вокруг
которого вращаются украшения.",
Item[148].name,Ключ с эмблемой ворона,
Item[148].description,Большой ключ с эмблемой летящего ворона.,
Item[149].name,Талисман очищения,
Item[149].description,"Бумажный талисман с символами
Восточных святилищ.",
Item[150].name,Рука безымянного,
Item[150].description,"Огромная рука, подаренная тебе безымянным.",
Item[151].name,Мех Повелителя мух,
Item[151].description,"Мех Повелителя мух. Волосы жесткие и грязные.
Это отвратительно и заплесневело воняет.",
Item[152].name,Сырое мясо,
Item[152].description,"Кусок сырого мяса. Это вредная пища, вы не знаете
полезно ли есть это в сыром виде...",
Item[153].name,Жареное мясо,
Item[153].description,"Кусок жареного мяса. Это нездоровая пища
которая утолит ваш голод.",
Item[154].name,Жареное мясо морского дракона,
Item[154].description,"Мясо морского дракона. Оно жирное и вкусно пахнет.
Оно было пожарено.",
Item[155].name,Доктрина о живом I,
Item[155].description,"Книга, в которой рассказывается об исследованиях
сотворения жизни. Она написана новым богом Вальтеилом.",
Item[156].name,Доктрина о живом II,
Item[156].description,"Книга, в которой рассказывается об исследованиях
сотворения жизни. Она написана новым богом Вальтеилом.",
Item[157].name,Дневник неизвестного стражника,
Item[157].description,"Дневник безымянного стражника, дежурившего в 
застенках подземелья страха и голода.",
Item[158].name,,
Item[158].description,,
Item[159].name,Свиток огненного трюка,
Item[159].description,"Свиток, раскрывающий секреты трюков с пиромантией.",
Item[160].name,Свиток воспламенения,
Item[160].description,"Свиток, раскрывающий секреты воспламенения.",
Item[161].name,Свиток хождения по воде,
Item[161].description,"Свиток с учениями Алл-Мера. Свиток
научит тебя ходьбе по воде.",
Item[162].name,Карта #1,
Item[162].description,"Старая бумага с различными символами и рисунками.
Кажется, это какая-то карта...",
Item[163].name,Карта #2,
Item[163].description,"Старая бумага с различными символами и рисунками.
Кажется, это какая-то карта...",
Item[164].name,Свиток трансмутации,
Item[164].description,"Свиток с учениями Алл-Мера. Свиток научит тебя секретам 
трансмутации.",
Item[165].name,,
Item[165].description,,
Item[166].name,Эликсир разума,
Item[166].description,"Эликсир, который, как говорят, восстанавливает 
рассудок и разум. Запах наводит на мысли о востоке.",
Item[167].name,Эликсир тела,
Item[167].description,"Эликсир, который, как говорят, восстанавливает
жизненные силы. Запах наводит на мысли о востоке.",
Item[168].name,Грибное рагу,
Item[168].description,"Тушеное блюдо из грибов, которое наверняка убережет 
от голода.",
Item[169].name,Метательный нож,
Item[169].description,"Маленький и легкий нож, предназначенный для метания.",
Item[170].name,Инструкция по изготовлению свиньи из шишек,
Item[170].description,"Инструкции по созданию своей собственной свинки из
шишек.",
Item[171].name,Червивый сок,
Item[171].description,"Флакон, полный слабого яда, который, как говорят,
убивает паразитов и червей внутри тела хозяина.",
Item[172].name,,
Item[172].description,,
Item[173].name,Свиток пиромантии,
Item[173].description,Узнайте секреты простых трюков с пиромантией,
Item[174].name,Свиток темных искусств,
Item[174].description,Узнайте секреты шара тьмы.,
Item[175].name,Свиток цервки лечения,
Item[175].description,Узнайте секреты целительного шепота,
Item[176].name,Свиток цервки Сильвиан,
Item[176].description,Узнайте секреты любящего шепота,
Item[177].name,Свиток пиявок,
Item[177].description,"Узнайте секреты игольчатых червей и о том, 
как ими повелевать.",
Item[178].name,Сказка о Покеткэте II,
Item[178].description,Детская сказка про Покеткэта. Это вторая глава.,
Item[179].name,Ключ от старого прохода,
Item[179].description,"Украшенный древний ключ. Говорят, что ключ открывает
старый проход в центре города.",
Item[180].name,Ключ от королевского прохода,
Item[180].description,"Украшенный древний ключ. Говорят, что ключ открывает
королевский проход на центральной площади.",
Item[181].name,Письмо Бакмана,
Item[181].description,Письмо наследного принца Людвига Бакмана.,
Item[182].name,Метательный дротик,
Item[182].description,"Маленький дротик для метания. 
На наконечнике виднеется яд.",
Item[183].name,Порошок синего демона,
Item[183].description,"Порошок из останков синего демона, найденный в
городе богов.",
Item[184].name,Страницы книги I,
Item[184].description,"Коллекция вырванных страниц. Они неразборчивы без
полного контекста. Тут упоминается искуственная жизнь...",
Item[185].name,Страницы книги II,
Item[185].description,"Коллекция вырванных страниц. Они неразборчивы без
полного контекста. Тут упоминается магия Сильвиан...",
Item[186].name,Страницы книги III,
Item[186].description,"Коллекция вырванных страниц. Они неразборчивы без
полного контекста. Тут упоминаются семя разрушения...",
Item[187].name,Сотворение жизни II,
Item[187].description,"Книга, описывающая учение Сильвиан и ее магию любви,
она носит название - «Семя Демона».",
Item[188].name,Карта #3,
Item[188].description,"Старая бумага с различными символами и рисунками.
Кажется, это какая-то карта...",
Item[189].name,Корона правителя,
Item[189].description,"Золотая корона, инкрустированная яркими изумрудами.
Должно быть она стоит целое состояние.",
Item[190].name,Интрукции по возрождению,
Item[190].description,"Страница с описанием учений Сильвиан и ее любовной
магии под названием «Возрождение любимого».",
Item[191].name,Разорванная инструкция I,
Item[191].description,"Разорванная страница с инструкциями по скрытому
оккультизму...",
Item[192].name,Разорванная инструкция II,
Item[192].description,"Разорванная страница с инструкциями по скрытому
оккультизму...",
Item[193].name,Разорванная инструкция III,
Item[193].description,"Разорванная страница с инструкциями по скрытому
оккультизму...",
Item[194].name,Кошачья мята,
Item[194].description,Кошачья мята в декоративной упаковке.,
Item[195].name,Грязный журнальчик,
Item[195].description,"Тонкий буклет, полный мужчин и женщин в
интригующих позах.",
Item[196].name,Увядшая роза,
Item[196].description,"Роза, увядшая и засохшая в темноте.
Она по-прежнему сохраняет свою красоту.",
Item[197].name,Плюшевая игрушка,
Item[197].description,"Детская игрушка, напоминающая сидящего медведя..
Игрушка набита перьями.",
Item[198].name,Полоски плоти,
Item[198].description,Полоски свежей плоти.,
Item[199].name,Веревка,
Item[199].description,"Длинная и прочная веревка. 
Она легко выдержит ваш вес.",
Item[200].name,,
Item[200].description,,
Item[201].name,Счастливая монета,
Item[201].description,"Счастливая монета на крайний случай. Удерживайте
[SHIFT] выбирая орла или решку, чтобы повысить шансы.",
Item[202].name,Ключ от хранилища,
Item[202].description,,
Item[203].name,Рыцари Искупления,
Item[203].description,Книга о Рыцарях Искупления Ватикана.,
Item[204].name,Репа,
Item[204].description,"Корнеплод, обычно выращиваемый по всей Европе.
Вкус довольно мягкий.",
Item[205].name,,
Item[205].description,,
Item[206].name,Гнилая репа,
Item[206].description,"Корнеплод, обычно выращиваемый по всей Европе.
Выглядит не очень то хорошо...",
Item[207].name,Гнилой мясной пирог,
Item[207].description,"Старомодный мясной пирог. Выглядит, как давно
испортившийся...",
Item[208].name,Тухлое яйцо,
Item[208].description,"Яйцо птицы или ящерицы. Кто знает?
Пахнет ужасно.",
Item[209].name,Гнилой овощной пирог,
Item[209].description,"Старомодный пирог из морковки и капусты. Выглядит
уже не очень то хорошо...",
Item[210].name,Гнилая капуста,
Item[210].description,"Капуста полностью сгнила. Она слишком мягкая и 
влажная во всех отношениях...",
Item[211].name,Гнилой помидор,
Item[211].description,"Помидор, который очень долго хранился в темноте. 
Прогнил окончательно.",
Item[212].name,Гнилая морковь,
Item[212].description,"Морковь очень долго хранилась в темноте. 
Прогнила окончательно.",
Item[213].name,Гнилая черника,
Item[213].description,Черника уже разлагается. Ягоды давно испортились.,
Item[214].name,,
Item[214].description,,
Item[215].name,,
Item[215].description,,
Item[216].name,,
Item[216].description,,
Item[217].name,,
Item[217].description,,
Item[218].name,,
Item[218].description,,
Item[219].name,,
Item[219].description,,
Item[220].name,,
Item[220].description,,
