ID,source,target
Map029.Event[9].Page[8].list.command[201],____TEXT____,
Map029.Event[9].Page[8].list.command[202].textData,Ты подбираешь \c[2]Кожу стража\c[0]!,
Map029.Event[9].Page[8].list.command[209],____TEXT____,
Map029.Event[9].Page[8].list.command[210].textData,Чудовище повержено...,
Map029.Event[9].Page[8].list.command[211],___CHOICE___,
Map029.Event[9].Page[8].list.command[211].textChoice[0],Ударить его,
Map029.Event[9].Page[8].list.command[211].textChoice[1],Обыскать его,
Map029.Event[9].Page[8].list.command[211].textChoice[2],Оставить его,
Map029.Event[9].Page[8].list.command[217],____TEXT____,
Map029.Event[9].Page[8].list.command[218].textData,Никакой реакции. Но это приносит удовлетворение.,
Map029.Event[9].Page[8].list.command[221],____TEXT____,
Map029.Event[9].Page[8].list.command[222].textData,У него не осталось ничего полезного.,
Map029.Event[9].Page[9].list.command[2],____TEXT____,
Map029.Event[9].Page[9].list.command[3].textData,Ты можешь использовать здесь \c[2]Камень душ\c[0]...,
Map029.Event[9].Page[9].list.command[4],___CHOICE___,
Map029.Event[9].Page[9].list.command[4].textChoice[0],Да,
Map029.Event[9].Page[9].list.command[4].textChoice[1],Нет,
Map029.Event[9].Page[9].list.command[7],____TEXT____,
Map029.Event[9].Page[9].list.command[8].textData,\c[2]Камень душ\c[0] меняет свой облик.,
Map029.Event[9].Page[9].list.command[9].textData,Теперь он излучает слабый синий свет.,
Map029.Event[9].Page[9].list.command[22],____TEXT____,
Map029.Event[9].Page[9].list.command[23].textData,Осталась лишь груда мяса...,
Map029.Event[12].Page[0].list.command[0].textComment,CHEST,
Map029.Event[12].Page[0].list.command[1],____TEXT____,
Map029.Event[12].Page[0].list.command[2].textData,"Крепкий сундук. Похоже, он не заперт.",
Map029.Event[12].Page[0].list.command[3],___CHOICE___,
Map029.Event[12].Page[0].list.command[3].textChoice[0],Открыть,
Map029.Event[12].Page[0].list.command[3].textChoice[1],Уйти,
Map029.Event[12].Page[0].list.command[9],___CHOICE___,
Map029.Event[12].Page[0].list.command[9].textChoice[0],ОРЁЛ,
Map029.Event[12].Page[0].list.command[9].textChoice[1],РЕШКА,
Map029.Event[12].Page[0].list.command[137].textComment,CHEST,
Map029.Event[12].Page[1].list.command[0],____TEXT____,
Map029.Event[12].Page[1].list.command[1].textData,В сундуке ничего не осталось.,
Map029.Event[15].Page[0].list.command[0].textComment,BOOKSHELF,
Map029.Event[15].Page[0].list.command[1],____TEXT____,
Map029.Event[15].Page[0].list.command[2].textData,Пыльные старые книги покоятся на полке.,
Map029.Event[15].Page[0].list.command[3].textData,Часть из них частично сгнила и покрылась плесенью.,
Map029.Event[15].Page[0].list.command[4].textData,,
Map029.Event[15].Page[0].list.command[5],___CHOICE___,
Map029.Event[15].Page[0].list.command[5].textChoice[0],Обыскать,
Map029.Event[15].Page[0].list.command[5].textChoice[1],Уйти,
Map029.Event[15].Page[0].list.command[11],___CHOICE___,
Map029.Event[15].Page[0].list.command[11].textChoice[0],ОРЁЛ,
Map029.Event[15].Page[0].list.command[11].textChoice[1],РЕШКА,
Map029.Event[15].Page[0].list.command[67],____TEXT____,
Map029.Event[15].Page[0].list.command[68].textData,"Это увесистая книга, притягивает твой взгляд.",
Map029.Event[15].Page[0].list.command[69],____TEXT____,
Map029.Event[15].Page[0].list.command[70].textData,"Будто зов сирены, книга приковывает твоё внимание.",
Map029.Event[15].Page[0].list.command[71].textData,К её жуткой кожаная обложке просто невозможно не ,
Map029.Event[15].Page[0].list.command[72].textData,прикоснуться.,
Map029.Event[15].Page[0].list.command[110],____TEXT____,
Map029.Event[15].Page[0].list.command[111].textData,Ты не находишь ничего интересного.,
Map029.Event[15].Page[0].list.command[121].textComment,BOOKSHELF,
Map029.Event[15].Page[1].list.command[0],____TEXT____,
Map029.Event[15].Page[1].list.command[1].textData,Здесь не осталось ничего ценного.,
Map029.Event[19].Page[0].list.command[0],____TEXT____,
Map029.Event[19].Page[0].list.command[1].textData,Грубо сколоченный кухонный стол с кучей неровностей и,
Map029.Event[19].Page[0].list.command[2].textData,шероховатостей. Его украшают различные отметины и ,
Map029.Event[19].Page[0].list.command[3].textData,пятна.,
Map029.Event[19].Page[0].list.command[6],____TEXT____,
Map029.Event[19].Page[0].list.command[7].textData,"""Ты находишь мешок \c[2]Муки\c[0]!",
Map029.Event[19].Page[0].list.command[8].textData,"В ней ползает множество личинок"".",
Map029.Event[19].Page[0].list.command[13],____TEXT____,
Map029.Event[19].Page[0].list.command[14].textData,На нижней полке ты находишь \c[2]Вяленое мясо\c[0]!,
Map029.Event[19].Page[0].list.command[19],____TEXT____,
Map029.Event[19].Page[0].list.command[20].textData,Ты находишь \c[2]3 Яйца\c[0] спрятанных в корзинке!,
Map029.Event[19].Page[1].list.command[0],____TEXT____,
Map029.Event[19].Page[1].list.command[1].textData,Тут ничего нет.,
Map029.Event[20].Page[0].list.command[17],____TEXT____,
Map029.Event[20].Page[0].list.command[18].textData,"Тебе удалось победить призрака, что преследовал меч.",
Map029.Event[20].Page[0].list.command[19],____TEXT____,
Map029.Event[20].Page[0].list.command[20].textData,"Подобно ветру из дальних земель, ты слышишь тихий, ",
Map029.Event[20].Page[0].list.command[21].textData,угасающий шепот...,
Map029.Event[20].Page[0].list.command[22],____TEXT____,
Map029.Event[20].Page[0].list.command[23].textData,"\c[7]Призрак убийцы\c[0]""",
Map029.Event[20].Page[0].list.command[24].textData,"Заверши... мое...задание...""",
Map029.Event[20].Page[0].list.command[25],____TEXT____,
Map029.Event[20].Page[0].list.command[26].textData,\c[7]Призрак убийцы\c[0],
Map029.Event[20].Page[0].list.command[27].textData,"""О... достойнейший...""",
Map029.Event[20].Page[0].list.command[28],____TEXT____,
Map029.Event[20].Page[0].list.command[29].textData,\c[2]Восточный клинок\c[0] был очищен!,
Map029.Event[20].Page[0].list.command[30],____TEXT____,
Map029.Event[20].Page[0].list.command[31].textData,Ты начинаешь понимать гравировку на эфесе.,
Map029.Event[20].Page[0].list.command[32].textData,\c[2]Восточный клинок\c[0] был очищен и открыл тебе,
Map029.Event[20].Page[0].list.command[33].textData,своё истинное имя - Тёмное лезвие Востока.,
Map029.Event[33].Page[0].list.command[1],____TEXT____,
Map029.Event[33].Page[0].list.command[2].textData,Зажечь \c[2]Огнивом\c[0] свечу?,
Map029.Event[33].Page[0].list.command[3],___CHOICE___,
Map029.Event[33].Page[0].list.command[3].textChoice[0],Да,
Map029.Event[33].Page[0].list.command[3].textChoice[1],Нет,
Map029.Event[34].Page[0].list.command[1],____TEXT____,
Map029.Event[34].Page[0].list.command[2].textData,Зажечь \c[2]Огнивом\c[0] свечу?,
Map029.Event[34].Page[0].list.command[3],___CHOICE___,
Map029.Event[34].Page[0].list.command[3].textChoice[0],Да,
Map029.Event[34].Page[0].list.command[3].textChoice[1],Нет,
Map029.Event[35].Page[0].list.command[1],____TEXT____,
Map029.Event[35].Page[0].list.command[2].textData,Зажечь \c[2]Огнивом\c[0] свечу?,
Map029.Event[35].Page[0].list.command[3],___CHOICE___,
Map029.Event[35].Page[0].list.command[3].textChoice[0],Да,
Map029.Event[35].Page[0].list.command[3].textChoice[1],Нет,
Map029.Event[36].Page[0].list.command[1],____TEXT____,
Map029.Event[36].Page[0].list.command[2].textData,Зажечь \c[2]Огнивом\c[0] свечу?,
Map029.Event[36].Page[0].list.command[3],___CHOICE___,
Map029.Event[36].Page[0].list.command[3].textChoice[0],Да,
Map029.Event[36].Page[0].list.command[3].textChoice[1],Нет,
Map029.Event[37].Page[0].list.command[0],____TEXT____,
Map029.Event[37].Page[0].list.command[1].textData,От гнилого мяса на столе исходит невероятная вонь!,
Map029.Event[37].Page[0].list.command[2].textData,Тарелки усеяны личинками.,
Map029.Event[37].Page[0].list.command[3],____TEXT____,
Map029.Event[37].Page[0].list.command[4].textData,"Интересно, кто-то действительно это ест?",
Map029.Event[37].Page[0].list.command[5].textData,Иначе зачем оно здесь?,
Map029.Event[37].Page[0].list.command[6],___CHOICE___,
Map029.Event[37].Page[0].list.command[6].textChoice[0],Взять немного,
Map029.Event[37].Page[0].list.command[6].textChoice[1],Отойти,
Map029.Event[37].Page[0].list.command[8],____TEXT____,
Map029.Event[37].Page[0].list.command[9].textData,Ты берешь немного \c[2]Гнилого мяса\c[0].,
Map029.Event[37].Page[0].list.command[10].textData,"Оно слизкое и мягкое, едва не разваливается.",
Map029.Event[37].Page[0].list.command[12],____TEXT____,
Map029.Event[37].Page[0].list.command[13].textData,Одна из личинок залезает тебе на руку.,
Map029.Event[37].Page[1].list.command[0],____TEXT____,
Map029.Event[37].Page[1].list.command[1].textData,От гнилого мяса на столе исходит невероятная вонь!,
Map029.Event[37].Page[1].list.command[2].textData,Тарелки усеяны личинками.,
Map029.Event[37].Page[1].list.command[3],____TEXT____,
Map029.Event[37].Page[1].list.command[4].textData,"Интересно, кто-то действительно это ест?",
Map029.Event[37].Page[1].list.command[5].textData,Иначе зачем оно здесь?,
Map029.Event[38].Page[0].list.command[1],____TEXT____,
Map029.Event[38].Page[0].list.command[2].textData,Зажечь \c[2]Огнивом\c[0] свечу?,
Map029.Event[38].Page[0].list.command[3],___CHOICE___,
Map029.Event[38].Page[0].list.command[3].textChoice[0],Да,
Map029.Event[38].Page[0].list.command[3].textChoice[1],Нет,
Map029.Event[39].Page[0].list.command[0],____TEXT____,
Map029.Event[39].Page[0].list.command[1].textData,Ты ищешь в ящике что-нибудь полезное...,
Map029.Event[39].Page[0].list.command[4],____TEXT____,
Map029.Event[39].Page[0].list.command[5].textData,Ты находишь \c[2]Стеклянный флакон\c[0]!,
Map029.Event[39].Page[0].list.command[10],____TEXT____,
Map029.Event[39].Page[0].list.command[11].textData,Ты находишь \c[2]Кожаный доспех\c[0]!,
Map029.Event[39].Page[0].list.command[16],____TEXT____,
Map029.Event[39].Page[0].list.command[17].textData,...Но здесь ничего нет.,
Map029.Event[39].Page[1].list.command[0],____TEXT____,
Map029.Event[39].Page[1].list.command[1].textData,В ящике не осталось ничего ценного.,
Map029.Event[40].Page[0].list.command[0],____TEXT____,
Map029.Event[40].Page[0].list.command[1].textData,Ты ищешь в ящике что-нибудь полезное...,
Map029.Event[40].Page[1].list.command[0],____TEXT____,
Map029.Event[40].Page[1].list.command[1].textData,Ничего не осталось.,
Map029.Event[41].Page[0].list.command[0],____TEXT____,
Map029.Event[41].Page[0].list.command[1].textData,\c[7]Мужчина в маске\c[0],
Map029.Event[41].Page[0].list.command[2].textData,"""...""",
Map029.Event[41].Page[0].list.command[3],____TEXT____,
Map029.Event[41].Page[0].list.command[4].textData,Таинственный мужчина выглядит словно ветеран войны. ,
Map029.Event[41].Page[0].list.command[5].textData,Похоже он потерял правую руку. Но в его недюжинной,
Map029.Event[41].Page[0].list.command[6].textData,осанке все равно читается нечто крайне устрашающее.,
Map029.Event[41].Page[0].list.command[7],___CHOICE___,
Map029.Event[41].Page[0].list.command[7].textChoice[0],"""Кто ты такой?""",
Map029.Event[41].Page[0].list.command[7].textChoice[1],"""Что ты здесь делаешь?""",
Map029.Event[41].Page[0].list.command[7].textChoice[2],Атаковать его,
Map029.Event[41].Page[0].list.command[7].textChoice[3],Ignore,
Map029.Event[41].Page[0].list.command[9],____TEXT____,
Map029.Event[41].Page[0].list.command[10].textData,\c[7]Мужчина в маске\c[0],
Map029.Event[41].Page[0].list.command[11].textData,"""А какая тебе разница?""",
Map029.Event[41].Page[0].list.command[12],____TEXT____,
Map029.Event[41].Page[0].list.command[13].textData,\c[7]Мужчина в маске\c[0],
Map029.Event[41].Page[0].list.command[14].textData,"""Или ты тешишь себя надеждой увидеть меня вновь? ",
Map029.Event[41].Page[0].list.command[15].textData,"Вряд-ли"".",
Map029.Event[41].Page[0].list.command[16],___CHOICE___,
Map029.Event[41].Page[0].list.command[16].textChoice[0],"""Никогда не знаешь, что тебе уготовит судьба...""",
Map029.Event[41].Page[0].list.command[16].textChoice[1],"""Верно подмечено"".",
Map029.Event[41].Page[0].list.command[22],____TEXT____,
Map029.Event[41].Page[0].list.command[23].textData,\c[7]Мужчина в маске\c[0],
Map029.Event[41].Page[0].list.command[24].textData,"""...""",
Map029.Event[41].Page[0].list.command[25],____TEXT____,
Map029.Event[41].Page[0].list.command[26].textData,\c[7]Мужчина в маске\c[0],
Map029.Event[41].Page[0].list.command[27].textData,"""Хотя, если задуматься...""",
Map029.Event[41].Page[0].list.command[28],____TEXT____,
Map029.Event[41].Page[0].list.command[29].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[30].textData,"""Я - Изая"".",
Map029.Event[41].Page[0].list.command[31],____TEXT____,
Map029.Event[41].Page[0].list.command[32].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[33].textData,"""Можно сказать я... ветеран этих подземелий"".",
Map029.Event[41].Page[0].list.command[34],____TEXT____,
Map029.Event[41].Page[0].list.command[35].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[36].textData,"""Не так давно я нашел манускрипт, поведавший мне о том, ",
Map029.Event[41].Page[0].list.command[37].textData,"что сокрыто в стенах этой древней крепости"".",
Map029.Event[41].Page[0].list.command[38],____TEXT____,
Map029.Event[41].Page[0].list.command[39].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[40].textData,"""В нём было множество страниц, что-то вроде карт...""",
Map029.Event[41].Page[0].list.command[41],____TEXT____,
Map029.Event[41].Page[0].list.command[42].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[43].textData,"""Мне удалось найти лишь несколько указанных мест, но ",
Map029.Event[41].Page[0].list.command[44].textData,"я также нашел в отмеченных местах спрятанные сокровища"".",
Map029.Event[41].Page[0].list.command[45],____TEXT____,
Map029.Event[41].Page[0].list.command[46].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[47].textData,"""Пара карт, однако, отыскать их мне совсем не по зубам...""",
Map029.Event[41].Page[0].list.command[48],____TEXT____,
Map029.Event[41].Page[0].list.command[49].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[50].textData,"""Возможно сокровища спрятаны где-то глубоко, куда я ",
Map029.Event[41].Page[0].list.command[51].textData,"попросту пока не смог добраться, или я что-то упустил"".",
Map029.Event[41].Page[0].list.command[52],____TEXT____,
Map029.Event[41].Page[0].list.command[53].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[54].textData,"""В любом случае, мои дела здесь окончены. Я уже",
Map029.Event[41].Page[0].list.command[55].textData,"слишком долго искушаю свою удачу"".",
Map029.Event[41].Page[0].list.command[56],____TEXT____,
Map029.Event[41].Page[0].list.command[57].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[58].textData,"""Я могу продать тебе оставшиеся карты, за скажем...",
Map029.Event[41].Page[0].list.command[59].textData,\c[2]50 серебрянных монет\c[0].,
Map029.Event[41].Page[0].list.command[60],___CHOICE___,
Map029.Event[41].Page[0].list.command[60].textChoice[0],"""По рукам"".",
Map029.Event[41].Page[0].list.command[60].textChoice[1],"""Как насчет 40 серебрянных монет?""",
Map029.Event[41].Page[0].list.command[60].textChoice[2],"Как насчет 20 серебрянных монет?""",
Map029.Event[41].Page[0].list.command[60].textChoice[3],"""А как я узнаю, что карты то настоящие?""",
Map029.Event[41].Page[0].list.command[67],____TEXT____,
Map029.Event[41].Page[0].list.command[68].textData,"Ты получаешь \c[2]Карту #1\c[0] и \c[2]Карту #2\c[0]"".",
Map029.Event[41].Page[0].list.command[69],____TEXT____,
Map029.Event[41].Page[0].list.command[70].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[71].textData,"""Кто знает... Может быть у тебя получится найти их"".",
Map029.Event[41].Page[0].list.command[75],____TEXT____,
Map029.Event[41].Page[0].list.command[76].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[77].textData,"""Что же, не достает монет?""",
Map029.Event[41].Page[0].list.command[83],____TEXT____,
Map029.Event[41].Page[0].list.command[84].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[85].textData,"""...""",
Map029.Event[41].Page[0].list.command[86],____TEXT____,
Map029.Event[41].Page[0].list.command[87].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[88].textData,"""Нет"".",
Map029.Event[41].Page[0].list.command[92],____TEXT____,
Map029.Event[41].Page[0].list.command[93].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[94].textData,"""Издеваешься надо мной? Так не пойдет"".",
Map029.Event[41].Page[0].list.command[98],____TEXT____,
Map029.Event[41].Page[0].list.command[99].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[0].list.command[100].textData,"""Мне нечем подкрепить свои слова. Так что...""",
Map029.Event[41].Page[0].list.command[106],____TEXT____,
Map029.Event[41].Page[0].list.command[107].textData,\c[7]Мужчина в маске\c[0],
Map029.Event[41].Page[0].list.command[108].textData,"""У меня тут свои дела"".",
Map029.Event[41].Page[0].list.command[111],____TEXT____,
Map029.Event[41].Page[0].list.command[112].textData,\c[7]Мужчина в маске\c[0],
Map029.Event[41].Page[0].list.command[113].textData,"""Кха! Я видел такие ужасы, что тебе и не снились.",
Map029.Event[41].Page[0].list.command[114].textData,"Ты здесь точно подохнешь"".",
Map029.Event[41].Page[1].list.command[0],____TEXT____,
Map029.Event[41].Page[1].list.command[1].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[1].list.command[2].textData,"""Я могу продать тебе карты, за \c[2]50 серебрянных монет\c[0]"".",
Map029.Event[41].Page[1].list.command[3],___CHOICE___,
Map029.Event[41].Page[1].list.command[3].textChoice[0],"""По рукам"".",
Map029.Event[41].Page[1].list.command[3].textChoice[1],"""Как насчет 40 серебрянных монет?""",
Map029.Event[41].Page[1].list.command[3].textChoice[2],"Как насчет 20 серебрянных монет?""",
Map029.Event[41].Page[1].list.command[3].textChoice[3],"""А как я узнаю, что карты то настоящие?""",
Map029.Event[41].Page[1].list.command[10],____TEXT____,
Map029.Event[41].Page[1].list.command[11].textData,"Ты получаешь \c[2]Карту #1\c[0] и \c[2]Карту #2\c[0]"".",
Map029.Event[41].Page[1].list.command[12],____TEXT____,
Map029.Event[41].Page[1].list.command[13].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[1].list.command[14].textData,"""Кто знает... Может быть у тебя получится найти их"".",
Map029.Event[41].Page[1].list.command[18],____TEXT____,
Map029.Event[41].Page[1].list.command[19].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[1].list.command[20].textData,"""Что же, не достает монет?""",
Map029.Event[41].Page[1].list.command[25],____TEXT____,
Map029.Event[41].Page[1].list.command[26].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[1].list.command[27].textData,"""...""",
Map029.Event[41].Page[1].list.command[28],____TEXT____,
Map029.Event[41].Page[1].list.command[29].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[1].list.command[30].textData,"""Нет"".",
Map029.Event[41].Page[1].list.command[33],____TEXT____,
Map029.Event[41].Page[1].list.command[34].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[1].list.command[35].textData,"""Издеваешься надо мной? Так не пойдет"".",
Map029.Event[41].Page[1].list.command[39],____TEXT____,
Map029.Event[41].Page[1].list.command[40].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[1].list.command[41].textData,"""Мне нечем подкрепить свои слова. Так что...""",
Map029.Event[41].Page[2].list.command[0],____TEXT____,
Map029.Event[41].Page[2].list.command[1].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[2].list.command[2].textData,"""Ты очевидно не воспринимаешь меня всерьёз. ",
Map029.Event[41].Page[2].list.command[3].textData,"Так что, мне нет проку с тобой разговаривать"".",
Map029.Event[41].Page[3].list.command[0],____TEXT____,
Map029.Event[41].Page[3].list.command[1].textData,\c[7]Изая\c[0],
Map029.Event[41].Page[3].list.command[2].textData,"""Кто знает... Может быть у тебя получится найти их"".",
Map029.Event[41].Page[4].list.command[2],____TEXT____,
Map029.Event[41].Page[4].list.command[3].textData,Ты можешь использовать здесь \c[2]Камень душ\c[0]...,
Map029.Event[41].Page[4].list.command[4],___CHOICE___,
Map029.Event[41].Page[4].list.command[4].textChoice[0],Да,
Map029.Event[41].Page[4].list.command[4].textChoice[1],Нет,
Map029.Event[41].Page[4].list.command[7],____TEXT____,
Map029.Event[41].Page[4].list.command[8].textData,\c[2]Камень душ\c[0] меняет свой облик.,
Map029.Event[41].Page[4].list.command[9].textData,Теперь он излучает слабый синий свет.,
Map029.Event[41].Page[4].list.command[23],____TEXT____,
Map029.Event[41].Page[4].list.command[24].textData,Ты можешь \c[2]Поглотить\c[0] останки стража.,
Map029.Event[41].Page[4].list.command[25],___CHOICE___,
Map029.Event[41].Page[4].list.command[25].textChoice[0],Да,
Map029.Event[41].Page[4].list.command[25].textChoice[1],Нет,
Map029.Event[41].Page[4].list.command[72],____TEXT____,
Map029.Event[41].Page[4].list.command[73].textData,Ты поглощаешь останки.,
Map029.Event[41].Page[4].list.command[88],____TEXT____,
Map029.Event[41].Page[4].list.command[89].textData,Ты можешь использовать \c[2]Семя Демона\c[0] на его теле.,
Map029.Event[41].Page[4].list.command[90],___CHOICE___,
Map029.Event[41].Page[4].list.command[90].textChoice[0],Использовать,
Map029.Event[41].Page[4].list.command[90].textChoice[1],Нет,
